site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4677025029,S-0359369083949186,in,5,36,6,7,8,10,10,12,13,11,9,7,7,12,10,9,11,12,15,9,10,23,22,14,21,430
S-4673025027,S-0359369085139216,in,3,37,7,6,4,4,6,4,4,4,6,7,13,12,4,4,4,6,4,4,4,6,7,12,6,250
S-4784025026,S-0359369085176895,in,15,66,19,19,19,21,19,19,19,23,31,29,56,24,21,21,23,16,21,24,27,24,29,27,27,260
S-4677025033,S-0359369083951596,in,11,19,17,15,15,21,20,23,23,24,25,23,31,23,17,14,17,27,54,31,25,30,25,22,30,430
S-2911010106,S-0359369084033170,in,4,121,7,9,17,6,4,4,4,4,2,4,2,4,4,4,4,2,2,4,2,4,4,4,2,400
S-4784025026,S-0359369085088678,in,31,27,19,18,23,19,20,17,19,21,25,28,56,28,18,22,21,21,17,23,24,23,24,60,41,2440
S-4886025023,S-0359369085185656,in,17,113,30,20,24,17,19,19,20,22,26,30,19,70,19,15,17,15,17,30,37,26,28,19,28,260
S-4372025021,S-0359369085093959,in,2,112,28,5,5,5,2,2,2,5,2,2,2,2,2,2,2,2,2,5,2,5,2,5,2,290
S-4677025028,S-0359369083965760,in,9,44,15,15,13,14,12,9,9,8,6,6,5,4,5,6,6,5,6,5,5,5,5,5,6,470
S-4372025021,S-0359369085218259,in,3,24,3,3,3,7,10,14,14,7,7,7,14,3,3,0,0,0,0,3,3,3,3,3,3,230
S-4885025022,S-0359369085162028,in,6,283,30,34,30,7,8,7,10,5,7,7,7,14,5,4,4,4,6,6,5,6,6,6,6,310
S-4677025029,S-0359369081335933,in,2,28,4,5,4,5,5,5,5,6,6,5,6,6,4,5,5,5,5,4,5,5,5,5,5,430
S-4793025022,S-0359369085714356,in,6,34,9,6,6,6,6,9,12,9,19,12,6,9,6,3,3,6,6,6,6,6,6,6,6,240
S-4673025027,S-0359369085159552,in,0,20,3,0,0,3,3,3,0,3,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,230
S-4180025322,S-0359369083973772,in,10,98,9,16,22,13,16,17,16,6,5,6,5,16,6,5,12,9,23,157,84,10,8,26,16,330
S-4677025028,S-0359369084263199,in,5,17,5,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,5,6,6,6,5,410
S-4677025028,S-0359369084263413,in,9,61,12,12,12,9,9,12,9,35,12,9,6,6,3,3,6,3,3,3,6,6,6,6,6,370
S-4677025028,S-0359369083974820,in,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,2920
S-4677025028,S-0359369083964946,in,4,139,6,6,10,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,330
S-4677025028,S-0359369084277991,in,9,33,9,10,9,10,10,9,10,10,9,10,9,17,11,8,9,9,13,29,18,12,11,10,12,350
S-4772025022,S-0359369084115233,in,14,86,20,21,23,20,19,25,22,23,27,21,14,124,17,18,23,19,32,88,113,80,59,26,23,330
S-4573025028,S-0359369085219893,in,0,30,13,3,3,3,3,0,3,13,3,23,0,3,0,0,0,0,0,0,0,0,0,0,0,250
S-4673025027,S-0359369085687701,in,3,51,6,6,6,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,250
S-4372025021,S-0359369085136931,in,4,19,6,5,6,6,5,7,5,5,5,6,8,6,8,6,6,5,4,6,4,6,8,9,7,250
S-4372025021,S-0359369085194641,in,5,22,8,8,8,13,11,8,8,11,16,13,8,8,13,8,11,32,5,8,8,11,11,19,8,430
S-4677025028,S-0359369084279195,in,13,13,3,3,3,13,29,10,10,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,120
S-4885025022,S-0359369085222269,in,0,78,3,8,17,3,3,6,6,6,3,3,3,3,0,3,0,3,11,3,3,3,3,3,3,370
S-4372025021,S-0359369085132252,in,8,29,11,10,10,10,9,14,14,19,12,12,22,26,15,19,8,10,10,17,19,57,90,43,11,270
S-4372025021,S-0359369085184741,in,3,37,12,6,3,6,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3,250
S-4793025022,S-0359369084005707,in,0,40,7,4,4,7,0,7,7,18,7,7,4,4,4,7,7,4,4,4,0,4,4,7,4,260
S-2911010106,S-0359369084051016,in,3,76,5,5,5,5,5,3,3,5,5,3,3,3,3,3,5,3,5,3,3,5,5,5,3,420
S-4886025023,S-0359369085192637,in,2,100,5,5,10,5,5,5,7,5,5,5,5,10,7,5,5,2,5,5,5,2,5,5,5,350
S-4784025026,S-0359369085183768,in,0,107,3,11,16,0,3,8,8,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,340
S-4677025028,S-0359369083963500,in,6,163,8,6,17,4,6,4,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,330
S-4784025026,S-0359369085176895,in,15,54,19,17,21,17,17,19,17,17,24,24,52,21,21,21,13,15,21,21,24,24,21,24,24,260
S-4684025022,S-0359369085696983,in,0,49,9,3,3,3,0,3,3,6,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,260
S-4784025026,S-0359369085195721,in,4,10,5,6,5,6,5,5,6,7,5,6,8,5,6,6,6,5,6,8,7,6,6,7,5,240
S-4793025022,S-0359369085714356,in,6,47,12,9,6,6,9,19,16,9,12,9,9,6,6,3,3,6,3,6,6,6,6,6,6,240
S-4885025022,S-0359369085218937,in,33,89,22,27,20,20,26,22,22,35,44,47,38,31,27,35,26,26,26,55,89,58,60,38,29,270
S-4413110100,S-0359369084091459,in,7,22,14,10,10,14,14,9,7,14,7,7,3,9,3,3,3,3,3,3,3,3,3,3,5,410
S-4372025021,S-0359369085187017,in,2,10,2,2,2,8,2,4,4,2,6,6,4,4,4,4,4,4,4,4,2,4,6,4,2,450
S-4673025027,S-0359369085707889,in,2,71,6,4,4,4,4,4,4,4,4,4,6,12,4,4,4,4,4,4,6,4,4,4,4,270
S-4682025024,S-0359369085722995,in,0,51,7,4,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,270
S-4677025028,S-0359369084284591,in,9,267,31,31,24,18,15,11,15,13,15,13,11,48,13,20,9,13,11,20,28,26,26,13,20,300
S-4885025022,S-0359369085162028,in,10,386,32,48,27,13,15,15,15,10,11,8,8,16,6,6,6,6,10,8,10,6,8,10,10,320
S-4784025026,S-0359369085181259,in,3,6,6,4,4,6,6,6,4,4,4,6,6,4,4,4,6,6,6,6,6,4,6,6,6,120
S-4677025028,S-0359369084278478,in,9,267,38,45,42,9,13,9,7,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,320
S-4677025028,S-0359369084263124,in,2,100,7,5,10,5,2,5,3,7,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,370
S-4677025028,S-0359369084288196,in,21,30,22,27,33,34,28,29,34,31,27,21,18,29,16,19,27,26,173,41,41,28,26,29,30,4220
S-4721011100,S-0359369084142641,in,4,12,4,4,4,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,2,4,4,2,4,160
S-4677025028,S-0359369083965760,in,7,30,17,14,15,15,21,21,21,13,10,8,8,10,7,6,6,8,6,5,6,7,7,8,10,580
S-4729010102,S-0359369084012737,in,3,4,5,5,4,6,5,4,5,5,6,4,6,6,4,6,6,5,6,7,5,6,6,5,5,450
S-4376025033,S-0035514005600391,in,3,72,8,3,3,5,5,3,3,5,5,3,5,5,5,3,5,5,8,15,13,10,8,5,5,380
S-4793025022,S-0359369084007828,in,0,43,9,3,3,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,260
S-4677025028,S-0359369084284591,in,8,289,41,33,25,15,15,13,15,13,13,13,13,41,10,15,10,10,10,15,18,28,30,15,15,300
S-2711010100,S-0359369084032438,in,0,30,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,250
S-4784025026,S-0359369085088678,in,0,24,0,0,0,0,0,4,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4372025021,S-0359369085139026,in,8,45,21,13,16,13,13,11,8,16,8,11,16,13,13,8,8,5,11,11,8,13,16,8,11,260
S-4677025033,S-0359369081320216,in,4,67,8,7,7,7,7,6,7,7,6,6,6,13,7,6,6,6,7,24,16,7,7,6,6,330
S-4677025033,S-0359369083948964,in,6,24,12,12,12,9,9,9,9,6,9,9,15,9,12,12,9,12,15,9,9,6,9,18,12,400
S-4677025028,S-0359369083963666,in,14,703,28,63,25,6,6,3,3,11,3,0,3,3,0,0,0,0,0,3,0,3,3,3,0,310
